icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
00100,0,,0,default_zero_unmatched,unmatched_default_0
00110,0,,0,default_zero_unmatched,unmatched_default_0
00160,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
001U0,0,,0,expert_review_override,expert_review_override_0_mixed_truncation_artifact
00200,0,,0,default_zero_unmatched,unmatched_default_0
0020D,D,,0,default_zero_unmatched,unmatched_default_0
00900,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00907,7,,0,default_zero_unmatched,unmatched_default_0
0090D,D,,0,default_zero_unmatched,unmatched_default_0
00910,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00940,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00960,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00964,4,CRAN,0,cdc_nhsn_primary,CRAN + approach 4 -> 0
009F0,0,,0,default_zero_unmatched,unmatched_default_0
009T0,0,LAM,0,cdc_nhsn_primary,LAM + approach 0 -> 0
009TX,X,,0,default_zero_unmatched,unmatched_default_0
00B00,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00B07,7,,0,default_zero_unmatched,unmatched_default_0
00B08,8,,0,default_zero_unmatched,unmatched_default_0
00B0D,D,,0,default_zero_unmatched,unmatched_default_0
00B0X,X,,0,default_zero_unmatched,unmatched_default_0
00B10,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00B60,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00B64,4,CRAN,0,cdc_nhsn_primary,CRAN + approach 4 -> 0
00BF0,0,,0,default_zero_unmatched,unmatched_default_0
00BF4,4,,0,default_zero_unmatched,unmatched_default_0
00BT0,0,LAM,0,cdc_nhsn_primary,LAM + approach 0 -> 0
00BT4,4,LAM,0,cdc_nhsn_primary,LAM + approach 4 -> 0
00BTX,X,,0,default_zero_unmatched,unmatched_default_0
00D0X,X,,0,default_zero_unmatched,unmatched_default_0
00D13,3,CRAN,0,cdc_nhsn_primary,CRAN + approach 3 -> 0
00DF0,0,,0,default_zero_unmatched,unmatched_default_0
00DFX,X,,0,default_zero_unmatched,unmatched_default_0
00GT0,0,,0,default_zero_unmatched,unmatched_default_0
00GTX,X,,0,default_zero_unmatched,unmatched_default_0
00H0D,D,,0,default_zero_unmatched,unmatched_default_0
00HU0,0,,0,default_zero_unmatched,unmatched_default_0
00J00,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00J08,8,,0,default_zero_unmatched,unmatched_default_0
00JT0,0,,0,default_zero_unmatched,unmatched_default_0
00L00,0,,0,default_zero_unmatched,unmatched_default_0
00NF0,0,,0,default_zero_unmatched,unmatched_default_0
00NT0,0,LAM,0,cdc_nhsn_primary,LAM + approach 0 -> 0
00P60,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00P64,4,CRAN,0,cdc_nhsn_primary,CRAN + approach 4 -> 0
00PE0,0,,0,default_zero_unmatched,unmatched_default_0
00PT0,0,,0,default_zero_unmatched,unmatched_default_0
00Q00,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00Q10,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00Q60,0,CRAN,0,cdc_nhsn_primary,CRAN + approach 0 -> 0
00Q6X,X,,0,default_zero_unmatched,unmatched_default_0
00QF0,0,,0,default_zero_unmatched,unmatched_default_0
00QFX,X,,0,default_zero_unmatched,unmatched_default_0
00QT0,0,LAM,0,cdc_nhsn_primary,LAM + approach 0 -> 0
00RF0,0,,0,default_zero_unmatched,unmatched_default_0
00SF0,0,,0,default_zero_unmatched,unmatched_default_0
00T00,0,,0,default_zero_unmatched,unmatched_default_0
00T04,4,,0,default_zero_unmatched,unmatched_default_0
00T20,0,,0,default_zero_unmatched,unmatched_default_0
00T60,0,,0,default_zero_unmatched,unmatched_default_0
00TF0,0,,0,default_zero_unmatched,unmatched_default_0
00TT0,0,,0,default_zero_unmatched,unmatched_default_0
00TTX,X,,0,default_zero_unmatched,unmatched_default_0
00UF0,0,,0,default_zero_unmatched,unmatched_default_0
00XF0,0,,0,default_zero_unmatched,unmatched_default_0
00XFX,X,,0,default_zero_unmatched,unmatched_default_0
01650,0,,0,default_zero_unmatched,unmatched_default_0
01800,0,,0,default_zero_unmatched,unmatched_default_0
01850,0,,0,default_zero_unmatched,unmatched_default_0
